เนื้อตุ๋นเอ็นละลาย,"เนื้อวัวสามชั้น: 500 กรัม
เอ็นวัว: 1กิโลกรัม
กระเทียม: 5กลีบ
รากผักชี: 3ต้น
ก้านอบเชย: 2-3ก้าน
ใบกระวาน: 2-3ใบ
โป๊ยกั้ก: 1ช้อนโต๊ะ
ขิงแห้ง: 1/2ช้อนโต๊ะ
ซีอิ้วขาว: 5-6ช้อนโต๊ะ
น้ำเปล่า: 2-3ถ้วยตวง
เกลือ: 1/4ช้อนชา
เม็ดพริกไทยขาว: 1ช้อนชา
หัวหอมใหญ่: 1ลูก"
ปูผัดผงกะหรี่,"ปู แกะเนื้อปู หรือหั่นปูเป็นชิ้น: 1-2 ตัว
หัวหอมใหญ่ หั่นเป็นเต๋า: 1 ลูก
ขึ้นฉาย: 3-4 ต้น
ต้นหอม: 2-3 ต้น
กระเทียม: 10 กลีบ
ไข่ไก่: 2 ฟอง
นมสด: 2 ช้อนโต๊ะ
ผงกระหรี่: 1 ช้อนโต๊ะ
น้ำมันหอย: 2 ช้อนโต๊ะ
น้ำปลา: 2 ช้อนโต๊ะ
น้ำตาล: 1/2 ช้อนโต๊ะ
น้ำมันพริกเผา: 1 ถ้วยเล็ก
น้ำเปล่า:"
น้ำพริกกะปิสูตรคุณยาย,"กะปิ: 1 ทัพพี
น้ำตาลปี๊บ: 1 ทัพพี
พริกสด: 1 กำมือ
กระเทียม: 1 กำมือ
มะเขือพวง: 1/2 ถ้วย
น้ำมะนาวคั้นสด: 1 ทัพพี
น้ำเปล่า: 1 ทัพพี"
ต้มโคล้งปลาย่าง,"ปลากรอบปิ้งไฟให้หอมอีกครั้ง หรือจะนำไปอบให้หอมก็ได้ หักเป็นชิ้นใหญ่ๆ เอาก้างออก: 200 กรัม
ข่าหั่นท่อนทุบพอแตก: 2-3 แว่น
ตะไคร้หั่นท่อนทุบพอแตก: 2-3 ต้น
ใบมะกรูดฉีก: 3-4 ใบ
เห็ดนางรมฉีกเป็นชิ้นพอดีคำ: 100 กรัม
มะขามเปียก: 50 กรัม
ใบกะเพราเด็ด: 50 กรัม
ซุปก้อน: 1 ก้อน
พริกขี้หนูแห้งทอด: 4-5 เม็ด
น้ำปลา: 2 ช้อนโต๊ะ"
สะเดาน้ำปลาหวาน (สูตรหวานนัวหลัวหลง),"สะเดา: 
หอมแดง: 
น้ำตาล: 
น้ำมะขามเปียก: 
น้ำส้มสายชู: 
น้ำปลา: 
ปลาช่อนแดดเดียว หรือปลาดุกย่าง: "
แกงเขียวหวานไก่,"น้ำพริกแกงเขียวหวาน(สำเร็จรูป): 
กะทิ (กล่องใหญ่1 กล่อง+กล่องเล็กสุด 1 กล่อง): 
ไก่สด+เครื่องใน: 
เลือดไก่(ก้อน): 
มะเขือเปราะ: 
มะเขือพวง: 
ใบโหระพา: 
พริกชีฟ้าสีแดง: 
พริกขี้หนูสด: 
น้ำตาล:"
ยำหัวปลีปลากระป๋อง,"หัวปลี: 1หัว
ปลากระป๋อง: 1กระป๋อง
น้ำตาลทราย: 1ช้อนโตผ๊ะ
น้ำปลา: 2ช้อนโต๊ะ
น้ำมะนาว: 2ช้อนโต๊ะ
น้ำพริกเผา: ตามชอบ
ผักชีฝรั่งหั่นฝอย: ตามชอบ
หอมแดง: 3หัว
กระเทียม ใส่หรือไม่ใส่ก็ได้: 1กลีบ
ตะไคร้ซอย: 1ต้น
พริกขี้หนูซอย: ตามชอบ
พริกป่น: ตามชอบ
ไข่ต้มหรือผักเคียง: ตามชอบ
เกลือ สำหรับแช่หัวปลี:"
น้ำยาปลาหมอนิล,"ปลาหมานิล: 3 ตัว
พริกขี้นกแห้ง: 1 ขีด
หอมแดง: 7 หัว
กระชายหั่น: 1 ขีด
ผิวมะกรูด: 1/2 ขีด
ตะไคร้ซอย: 1/2 ขีด
น้ำปลา: 3 ช้อนโต๊ะ
เกลือ: 1 ช้อนชา
กะปิ: 1 ช้อนโต๊ะ
น้ำปลาร้า: 2 ช้อนโต๊ะ
รสดีชนิดผงสูตรต้ม: 1/2 ช้อนชา
น้ำตาลทราย: 1/2 ช้อนโต๊ะ
ลูกชิ้นปลาอย่างดี: ตามความชอบ
กะทิ: 1/2 โล"
พะโล้สูตรโบราณ ทำง่าย,"พริกไทยดำ/ขาว: 1 ชต
กระเทียม: 1 1/2 ชต
รากผักชี: 7 ราก
หมูสามชั้น: 1/2 โล
ไข่ไก่/ไข่เป็ด: 5 ฟอง
ซีอิ๊วขาว: 6 ชต
ซีอิ๊วดำ: 1 ชช
น้ำตาลปี๊บ: 4 ชต"
ไข่เยี่ยวม้ากะเพรากรอบ,"เนื้อไก่สับ หรือหมูสับ: 250 g.
ไข่เยี่ยวม้า: 3 ฟอง
พริกขี้หนู: 2 ช้อนโต๊ะ
กระเทียม: 2 ช้อนโต๊ะ
ใบกะเพรา: 
น้ำปลาดี: 1 ช้อนโต๊ะ
น้ำตาลทราย: 1 ช้อนชา
ซอสหอยนางรม: 1 ช้อนโต๊ะ"
บัวลอยนมสดสอดไส้,"แป้งข้าวเหนียว: 
ฟักทองนึ่ง: 
มันม่วงนึ่ง: 
น้ำตาลทราย: 
นมสด: 
น้ำสะอาด: 
ใบเตย: "
แกงส้มมะละกอปลากระป๋อง,"มะละกอออกสีแต้มๆ ลูกกลางๆ: 1ลูก
ปลากระป๋อง: 1กระป๋อง
น้ำตาลปี๊บ: 2ทัพพี
น้ำส้มมะขาม ตามความชอบ: 1ทัพพี
น้ำปลา แล้วแต่ชอบ: 
น้ำเปล่า: 2ถ้วยตวง
พริกแกงส้ม: 1ทัพพี
ผักชี:"
แกงป่าหมู,"เนื้อหมู: 200 กรัม
พริกแกงเผ็ด: 2 ช้อนโต๊ะ
มะเขือเปราะหั่นและผ่าแล้ว: 1/2 ถ้วย
มะเขือพวง: 1/3 ถ้วย
ฟักทอง: 1/2 ถ้วย
ข้าวโพดอ่อน: 1/2 ถ้วย
พริกไทยอ่อน: 4 ช่อ
กระชายซอยเป็นเส้น: 1/2 ถ้วย
ใบกะเพราเด็ด: 1/2 ถ้วย
ใบมะกรูดฉีก: 5 ใบ
พริกชี้ฟ้าแดงหั่นเฉียง: 2 เม็ด
น้ำเปล่าหรือน้ำซุป: 2+1/2 ถ้วย
คนอร์ขวดซอสข้นปรุงรส รสหมู: 1 ช้อนโต๊ะ
น้ำมันสำหรับผัดพริกแกง: 2 ช้อนโต๊ะ"
ปลาร้าทรงเครื่อง,"ปลาดุก: 1 ตัว
ปลาร้า: 1/2 ถ้วย
น้ำเปล่า: 2 ถ้วย
กะทิ: 1 ถ้วย
ข่า: 5 แว่น
ตะไคร้: 1 หัว
ใบมะกรูด​: 3 ใบ
หน่อไม้ต้ม: 1/2 ถ้วย
ถั่วฝักยาว: 3 ฝัก
พริกหยวก: 3 เม็ด
พริกแดง: 3 เม็ด
กระชาย: 3 ราก
มะเขือ: 3 ลูก
น้ำตาลมะพร้าว: ตามชอบ
มะขามเปียก: ตามชอบ
หอมแดง: 3 หัว"
พริกแกงเหลือง (แกงส้มใต้),"พริกจินดาแห้ง(ใช้พริกขี้หนูสดได้): 30 เม็ด
กระเทียมไทย: 30 กลีบ
ขมิ้นยาว 2 นิ้ว: 1 ชิ้น
กะปิ: 1 ช้อนโต๊ะ
เกลือ: 1 ช้อนชา"
น้ำพริกอ่อง homemade,"พริกแกง: 1-2 ขีด
หมูสับ: 1 กิโลกรัม
เกลือ: 1-2 ช้อนโต๊ะ
น้ำปลา: 1-2 ช้อนโต๊ะ
มะเขือเทศ: 1 กิโลกรัม
ผักเคียง (แตงกวา, ผักกาด, ผักอื่นๆ):"
“ห่อหมกทะเลย่าง”,"พริกแกงเผ็ด: 350 กรัม
เนื้อปลาขูด: 1 กิโลกรัม
ไข่ไก่: 4 ฟอง
น้ำตาลปี๊บ: 2 ช้อนโต๊ะ
ใบมะกรูดซอย: 15 ใบ
กะทิ: 750 กรัม
น้ำปลา: 4 ช้อนโต๊ะ
กุ้งสดหั่นชิ้น: 10 ตัว
ปลาหมึกหั่นชิ้น: 3 ตัว
ปลาทับทิมหั่นชิ้น: 30 ขิ้น
ใบยอ: 1 ถ้วย
ใบโหรพา: 1 ถ้วย
ใบตอง: 1 กิโลกรัม"
น้ำพริกขี้กา,"พริกชี้ฟ้า: 10 เม็ด
กระเทียม: 20 กลีบ
พริกขี้หนู: 20 เม็ด
หอมแดง: 10 ลูก
น้ำมะนาว: 5 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1/2 ช้อนโต๊ะ
น้ำปลา: 4 ช้อนโต๊ะ
น้ำต้มสุก: 2 ช้อนโต๊ะ"
ยำปลากระป๋องทรงเครื่อง,"ปลากระป๋อง: 1 กระป๋อง
ตะไคร้: 2 ต้น
หอมแดงซอย: 5 หัว
ผักชีฝรั่ง: 1 ต้น
ใบโพระพา: 5-6 ใบ
ใบมะกรูดซอย: 2 ใบ
พริกขี้หนูซอย: 5 เม็ด
มะนาว: 1-2 ซีก"
ผัดหมี่สีชมพู Pad Mee See Chompoo,"เส้นหมี่ขาวแช่น้ำจนนิ่ม: 200 กรัม
เต้าหู้แข็งทอดหั่นเป็นแท่งเล๋กๆ: 1 ก้อน
ไช่ไก่ ทอดโรยหน้า: 3 ฟอง
หอมแดงสับละเอียด: 4 หัว
ซอสเย็นตาโฟ: 1/2 ถ้วยตวง
น้ำตาล: 4 ช้อนโต๊ะ
น้ำมะขามเปียก: 2 ช้อนโต๊ะ
เต้าเจี้ยวเม็ด: 2 ช้อนโต๊ะ
น้ำเปล่า: 3 ช้อนโต๊ะ
น้ำปลา: 1/2 ช้อนโต๊ะ
ต้นหอมหรือกุยช่ายมากน้อยแล้วแต่ชอบ: 
ถั่วงอกมากน้อยแล้วแต่ชอบ:"
ไก่รวนเค็ม,"ไก่ต้ม (ฉีกเป็นเส้นๆ): 
ซอสข้นคนอร์ รสไก่: 
น้ำตาลทราย: 
กระเทียม: 
พริกไทยดำเม็ด: 
รากผักชี: 
น้ำมัน: "
ทอดมันหมูเนียนนุ่ม 🐷,"เนื้อหมูบด: 7 ขีด
พริกแกง: 2 ช้อนโต๊ะ
ไข่ไก่: 2 ฟอง
ผงปรุงรส รสหมู: ตามชอบ
ซอสหอยนางรม: ตามชอบ
ถั่วฝักยาว: 2 ต้น
ใบมะกรูด: ตามชอบ
น้ำมันพืช:"
ผัดพริกแกงหน่อไม้หมูสับ,"พริกแกง: 
น้ำมันถั่วเหลือง: 
หมูสับ: 
หน่อไม้: 
น้ำเปล่า: 
ใบมะกรูด: 
ใบกะเพรา: 
น้ำตาลทราย: 
ผงปรุงรส: "
แกงคั่วหมูฟักเขียว,"เนื้อหมู: 200 กรัม
ฟักเขียว: 250 กรัม
หัวกะทิ: 1/4 ถ้วย
หางกะทิ: 1+1/2 ถ้วย
น้ำพริกแกงคั่วหรือแกงเผ็ด: 1+1/2 ช้อนโต๊ะ
น้ำปลา: 1+1/2 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1 ข้อนโต๊ะ
พริกชี้ฟ้า หั่นเฉียง: 1 เม็ด
ใบโหระพาเด็ดเอาแต่ใบ: 1 ถ้วย
น้ำมันพืช: 1 ช้อนโต๊ะ"
